algorithm,diversity_enabled,experiment,generation,hypervolume,reference_point,user_id
NSGA-II,False,user1_nsgaii_nodiversity,1,21480488.57522773,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,False,user1_nsgaii_nodiversity,2,23408999.62128033,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,False,user1_nsgaii_nodiversity,3,23408999.62128033,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,False,user1_nsgaii_nodiversity,4,23452273.453619435,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,False,user1_nsgaii_nodiversity,5,23452690.214770008,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,False,user1_spea2_nodiversity,1,18905644.438225035,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,False,user1_spea2_nodiversity,2,25400568.088751283,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,False,user1_spea2_nodiversity,3,25708102.005917344,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,False,user1_spea2_nodiversity,4,25708102.005917344,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,False,user1_spea2_nodiversity,5,25708102.005917344,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,True,user1_nsgaii_diversity,1,14136155.762119833,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,True,user1_nsgaii_diversity,2,14136155.762119833,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,True,user1_nsgaii_diversity,3,14136155.762119833,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,True,user1_nsgaii_diversity,4,14249518.09233532,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,True,user1_nsgaii_diversity,5,15563663.053775465,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,True,user1_spea2_diversity,1,12699137.927679816,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,True,user1_spea2_diversity,2,18964266.275752366,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,True,user1_spea2_diversity,3,18964266.275752366,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,True,user1_spea2_diversity,4,18964266.275752366,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
SPEA2,True,user1_spea2_diversity,5,18964266.275752366,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",1
NSGA-II,False,user2_nsgaii_nodiversity,1,12346707.918935573,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,False,user2_nsgaii_nodiversity,2,28186164.37455498,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,False,user2_nsgaii_nodiversity,3,28591629.70415211,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,False,user2_nsgaii_nodiversity,4,28591629.70415211,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,False,user2_nsgaii_nodiversity,5,28722193.785394434,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,False,user2_spea2_nodiversity,1,21883210.131516486,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,False,user2_spea2_nodiversity,2,23700353.774821203,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,False,user2_spea2_nodiversity,3,23700353.774821203,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,False,user2_spea2_nodiversity,4,23713204.52930834,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,False,user2_spea2_nodiversity,5,23713204.52930834,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,True,user2_nsgaii_diversity,1,8296899.731042018,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,True,user2_nsgaii_diversity,2,14323229.216147425,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,True,user2_nsgaii_diversity,3,15971365.337218346,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,True,user2_nsgaii_diversity,4,16259565.625055144,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
NSGA-II,True,user2_nsgaii_diversity,5,16651225.184160914,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,True,user2_spea2_diversity,1,11704453.17762749,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,True,user2_spea2_diversity,2,15641598.24111265,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,True,user2_spea2_diversity,3,15658532.784584476,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,True,user2_spea2_diversity,4,16203327.904788427,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
SPEA2,True,user2_spea2_diversity,5,16688671.330470573,"[153.5160824999999, 255.6290824999999, 700.7353741721782]",2
