algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,1,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,2,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,3,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,4,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,67 50 48 24,PORTAKAL SUYU | MEYVELİ YULAF GEVREĞİ | MEVSİM SALATASI | HAVUÇ SALATASI,170.0,300.0,True,201.9896,7,False,2000.0,2400.0,True,2066.6366,user1_nsgaii_nodiversity,20.0,9999.0,True,39.1248,8,0,393 231 162 191,YOĞURTLU PATLICAN KIZARTMASI | HİNDİ SOTE | ERİŞTE | ETSİZ PATLICAN MUSAKKA,16.5,15.4,45.5,243.0,0.0,40.0,100.0,True,87.8779,5,1500.0,2300.0,True,1898.8952,1,user_gamma_3991,False,0
NSGA-II,78 14 19 94 84,SOSİSLİ MİLFÖY BÖREĞİ | DİL PEYNİRİ | ERZİNCAN ÇORBASI | YULAF GEVREĞİ | TAM BUĞDAY EKMEK,170.0,300.0,True,238.0233,7,False,2000.0,2400.0,True,2038.393,user1_nsgaii_nodiversity,20.0,9999.0,True,40.0611,9,0,178 330 220 355,ETSİZ BULGURLU LAHANA | PORTAKAL | HAZIR PAKETLİ SÜTLÜ TATLI-KEŞKÜL | SOSLU PATLICAN KIZARTMASI,43.1,15.37,26.9,293.0,0.0,40.0,100.0,True,63.3956,6,1500.0,2300.0,True,1855.198,1,user_gamma_3991,False,0
NSGA-II,93 21 6 79 81,YOĞURT B | FINDIK EZMESİ | BEYAZ PEYNIR | SÜT | ŞEFTALİ SUYU,170.0,300.0,True,177.4726,6,False,2000.0,2400.0,True,2118.3394,user1_nsgaii_nodiversity,20.0,9999.0,True,35.8778,9,0,237 236 165 350,İMAMBAYILDI | İÇ PİLAV | ETLİ BEZELYE | SEBZELİ MAKARNA,54.6,16.8,60.4,320.0,0.0,40.0,100.0,True,71.9259,7,1500.0,2300.0,True,1783.5988,1,user_gamma_3991,False,0
NSGA-II,93 21 6 79 81,YOĞURT B | FINDIK EZMESİ | BEYAZ PEYNIR | SÜT | ŞEFTALİ SUYU,170.0,300.0,True,177.4726,6,False,2000.0,2400.0,True,2118.3394,user1_nsgaii_nodiversity,20.0,9999.0,True,35.8778,9,0,237 236 165 350,İMAMBAYILDI | İÇ PİLAV | ETLİ BEZELYE | SEBZELİ MAKARNA,54.6,16.8,60.4,320.0,0.0,40.0,100.0,True,71.9259,8,1500.0,2300.0,True,1783.5988,1,user_gamma_3991,False,0
NSGA-II,84 92 13 63,TAM BUĞDAY EKMEK | YEŞİL ZEYTIN | ÇOBAN SALATASI | PEYNİRLİ GÜL BÖREĞİ,170.0,300.0,True,245.6945,8,False,2000.0,2400.0,True,2348.6051,user1_nsgaii_nodiversity,20.0,9999.0,True,35.8877,9,0,266 130 338 173 393,KORNİŞON TURŞU | BÜLBÜL YUVASI | SALÇALI MAKARNA | ETSİZ BEZELYE | YOĞURTLU PATLICAN KIZARTMASI,38.6,14.7,33.4,370.0,0.0,40.0,100.0,True,51.4599,9,1500.0,2300.0,True,1542.0983,1,user_gamma_3991,False,0
SPEA2,45 18 35 93 23 85,MAKARNA SALATASI | ELMA SUYU | KAYISI SUYU | YOĞURT B | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA,170.0,300.0,True,216.9288,8,False,2000.0,2400.0,True,2020.359,user1_spea2_nodiversity,20.0,9999.0,True,22.5375,10,0,185 126 368 302,ETSİZ KEREVİZ | BROKOLİ SALATASI LD | TAS KEBABI | MUZ,28.5,21.3,38.7,281.0,0.0,40.0,100.0,True,88.3138,1,1500.0,2300.0,True,1723.912,1,user_gamma_3991,False,0
